latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-24.686,-42.501,312.6,1.3,1.1,2019-10-18,0145,T,79,6.0NRT,287.1,15.3,N
-24.688,-42.513,315.2,1.3,1.1,2019-10-18,0145,T,88,6.0NRT,289.5,18.3,N
-22.909,-43.733,309.2,1.2,1.1,2019-10-18,0145,T,77,6.0NRT,292.3,9.9,N
-23.336,-46.963,302.6,1,1,2019-10-18,0145,T,50,6.0NRT,288.7,6.8,N
-23.4,-47.505,313.2,1,1,2019-10-18,0145,T,87,6.0NRT,287.2,14,N
-23.273,-47.641,300.8,1,1,2019-10-18,0145,T,34,6.0NRT,289.2,5.2,N
-23.274,-47.651,300.3,1,1,2019-10-18,0145,T,24,6.0NRT,288.8,5,N
-22.878,-46.642,306.2,1,1,2019-10-18,0145,T,67,6.0NRT,290.5,7.1,N
-22.76,-46.914,312.8,1,1,2019-10-18,0145,T,86,6.0NRT,292.7,10.7,N
-22.761,-46.923,327.8,1,1,2019-10-18,0145,T,100,6.0NRT,293,25.6,N
-23.096,-50.335,321.8,1.4,1.2,2019-10-18,0145,T,100,6.0NRT,282.5,32.7,N
-22.48,-49.103,303.7,1.2,1.1,2019-10-18,0145,T,57,6.0NRT,292.6,5.3,N
-21.398,-41.944,305,1.5,1.2,2019-10-18,0145,T,62,6.0NRT,291.2,12.4,N
-21.397,-41.949,307.4,1.5,1.2,2019-10-18,0145,T,71,6.0NRT,291.3,14.5,N
-21.679,-48.137,404,1.1,1,2019-10-18,0145,T,100,6.0NRT,299.6,300.4,N
-21.681,-48.147,402.5,1.1,1,2019-10-18,0145,T,100,6.0NRT,300,289.9,N
-21.536,-47.16,325.9,1,1,2019-10-18,0145,T,100,6.0NRT,285,25,N
-21.537,-47.17,313.9,1,1,2019-10-18,0145,T,88,6.0NRT,285.2,13.3,N
-21.029,-44.149,308.3,1.2,1.1,2019-10-18,0145,T,74,6.0NRT,289,11.5,N
-21.031,-44.16,300.3,1.2,1.1,2019-10-18,0145,T,24,6.0NRT,289.1,5.5,N
-21.02,-44.15,322.2,1.2,1.1,2019-10-18,0145,T,100,6.0NRT,288.9,25.5,N
-21.022,-44.161,314.3,1.2,1.1,2019-10-18,0145,T,89,6.0NRT,288.5,16.3,N
-21.519,-48.672,318.9,1.1,1,2019-10-18,0145,T,98,6.0NRT,292.5,18.4,N
-21.52,-48.682,314.2,1.1,1,2019-10-18,0145,T,89,6.0NRT,292.4,13.8,N
-20.558,-42.489,300.3,1.5,1.2,2019-10-18,0145,T,23,6.0NRT,289.2,7.3,N
-20.564,-42.48,301.7,1.5,1.2,2019-10-18,0145,T,43,6.0NRT,289,8.8,N
-21.544,-49.746,309.3,1.2,1.1,2019-10-18,0145,T,77,6.0NRT,289.3,10.9,N
-21.534,-49.748,326.3,1.2,1.1,2019-10-18,0145,T,100,6.0NRT,288.8,31.8,N
-21.535,-49.759,307.3,1.2,1.1,2019-10-18,0145,T,71,6.0NRT,288.5,8.7,N
-21.533,-49.742,310.3,1.2,1.1,2019-10-18,0145,T,72,6.0NRT,287.7,11.4,N
-20.212,-41.095,300.8,1.9,1.3,2019-10-18,0145,T,34,6.0NRT,288.6,12.9,N
-20.271,-41.773,300.4,1.7,1.3,2019-10-18,0145,T,26,6.0NRT,289,9.4,N
-20.173,-41.466,308.3,1.8,1.3,2019-10-18,0145,T,74,6.0NRT,288.9,21.2,N
-21.232,-49.214,318.3,1.2,1.1,2019-10-18,0145,T,97,6.0NRT,293.1,18.3,N
-21.223,-49.215,309.2,1.2,1.1,2019-10-18,0145,T,77,6.0NRT,292.5,9.5,N
-20.926,-47.262,300.4,1,1,2019-10-18,0145,T,28,6.0NRT,289.5,3.6,N
-20.927,-47.271,331.5,1,1,2019-10-18,0145,T,100,6.0NRT,290.6,31.3,N
-20.183,-42.473,307.6,1.5,1.2,2019-10-18,0145,T,50,6.0NRT,292.4,12.5,N
-20.17,-42.461,311.2,1.5,1.2,2019-10-18,0145,T,33,6.0NRT,292.3,15.9,N
-20.148,-42.464,304.4,1.5,1.2,2019-10-18,0145,T,14,6.0NRT,292.3,8.6,N
-21.039,-48.435,349.8,1.1,1,2019-10-18,0145,T,100,6.0NRT,291.7,67.8,N
-21.041,-48.445,329,1.1,1,2019-10-18,0145,T,100,6.0NRT,291.3,29.8,N
-20.187,-42.955,304,1.4,1.2,2019-10-18,0145,T,58,6.0NRT,291.3,9.4,N
-20.182,-42.962,301,1.4,1.2,2019-10-18,0145,T,30,6.0NRT,290.9,7,N
-20.076,-42.455,314.5,1.5,1.2,2019-10-18,0145,T,89,6.0NRT,292.4,24,N
-20.025,-42.348,302.6,1.5,1.2,2019-10-18,0145,T,50,6.0NRT,292.3,9.2,N
-20.191,-43.591,319.9,1.3,1.1,2019-10-18,0145,T,99,6.0NRT,288.2,26.3,N
-20.192,-43.597,314.3,1.3,1.1,2019-10-18,0145,T,89,6.0NRT,288.9,20.1,N
-20.18,-43.586,303.1,1.3,1.1,2019-10-18,0145,T,53,6.0NRT,286.8,9.1,N
-20.182,-43.598,323,1.3,1.1,2019-10-18,0145,T,100,6.0NRT,288,31.4,N
-20.096,-43.767,301.5,1.3,1.1,2019-10-18,0145,T,42,6.0NRT,290.6,6.4,N
